Estimate ID,In Our List,In LMN List,Division,Price,Hours,PPH,Why Different
EST3339701,Yes,No,LE Maintenance (Summer/Winter),15116.4,25,604.66,We include but LMN excludes
EST2941180,Yes,No,LE Maintenance (Summer/Winter),46490.24,25,1859.61,We include but LMN excludes
EST3016163,Yes,No,LE Maintenance (Summer/Winter),14340.69,,,We include but LMN excludes
EST3345616,Yes,No,LE Maintenance (Summer/Winter),22189.99,,,We include but LMN excludes
EST3345235,Yes,No,LE Maintenance (Summer/Winter),5494,,,We include but LMN excludes
EST3345206,Yes,No,LE Maintenance (Summer/Winter),4702,,,We include but LMN excludes
EST3345229,Yes,No,LE Maintenance (Summer/Winter),4966,,,We include but LMN excludes
EST3345623,Yes,No,LE Maintenance (Summer/Winter),10488.03,,,We include but LMN excludes
EST3344659,Yes,No,LE Maintenance (Summer/Winter),6435.25,,,We include but LMN excludes
EST5801609,Yes,No,LE Landscapes,6825.6,32,213.30,We include but LMN excludes
EST3344643,Yes,No,LE Maintenance (Summer/Winter),8476.2,,,We include but LMN excludes
EST5333954,Yes,No,LE Irrigation,4050,,,We include but LMN excludes
EST3017119,Yes,No,LE Maintenance (Summer/Winter),9425.02,,,We include but LMN excludes
EST3015527,Yes,No,LE Maintenance (Summer/Winter),8771.88,,,We include but LMN excludes
EST3277343,Yes,No,LE Maintenance (Summer/Winter),14368.49,72,199.56,We include but LMN excludes
EST3015659,Yes,No,LE Maintenance (Summer/Winter),51985.78,,,We include but LMN excludes
EST3307342,Yes,No,LE Maintenance (Summer/Winter),16763.6,15,1117.57,We include but LMN excludes
EST3015579,Yes,No,LE Maintenance (Summer/Winter),9035.04,,,We include but LMN excludes
EST3015670,Yes,No,LE Maintenance (Summer/Winter),53545.35,,,We include but LMN excludes
EST5333992,Yes,No,LE Irrigation,4050,,,We include but LMN excludes
EST3017129,Yes,No,LE Maintenance (Summer/Winter),9707.77,,,We include but LMN excludes
EST2948927,Yes,No,LE Maintenance (Summer/Winter),32519.05,90,361.32,We include but LMN excludes
EST2988809,Yes,No,LE Maintenance (Summer/Winter),50539.15,105,481.33,We include but LMN excludes
EST2990148,Yes,No,LE Maintenance (Summer/Winter),120048.64,25,4801.95,We include but LMN excludes
EST2988830,Yes,No,LE Maintenance (Summer/Winter),43557.69,55,791.96,We include but LMN excludes
EST2990127,Yes,No,LE Maintenance (Summer/Winter),55609.79,25,2224.39,We include but LMN excludes
EST2988908,Yes,No,LE Maintenance (Summer/Winter),121296.44,105,1155.20,We include but LMN excludes
EST2990155,Yes,No,LE Maintenance (Summer/Winter),111445.27,100,1114.45,We include but LMN excludes
EST2988879,Yes,No,LE Maintenance (Summer/Winter),117763.54,105,1121.56,We include but LMN excludes
EST2944343,Yes,No,LE Maintenance (Summer/Winter),7527.03,,,We include but LMN excludes
EST3020281,Yes,No,LE Maintenance (Summer/Winter),54242.67,105,516.60,We include but LMN excludes
EST3020290,Yes,No,LE Maintenance (Summer/Winter),55869.95,105,532.09,We include but LMN excludes
EST2962487,Yes,No,LE Maintenance (Summer/Winter),10995.22,,,We include but LMN excludes
EST2962501,Yes,No,LE Maintenance (Summer/Winter),11325.28,,,We include but LMN excludes
EST2991145,Yes,No,LE Maintenance (Summer/Winter),6837.1,,,We include but LMN excludes
EST2991148,Yes,No,LE Maintenance (Summer/Winter),7042.21,,,We include but LMN excludes
EST3189820,Yes,No,LE Maintenance (Summer/Winter),14752.74,105,140.50,We include but LMN excludes
EST3189822,Yes,No,LE Maintenance (Summer/Winter),15195.32,105,144.72,We include but LMN excludes
EST3339613,Yes,No,LE Maintenance (Summer/Winter),9130,2,4565.00,We include but LMN excludes
EST3339620,Yes,No,LE Maintenance (Summer/Winter),9130,2,4565.00,We include but LMN excludes
EST4717212,Yes,No,LE Irrigation,4790.47,24,199.60,We include but LMN excludes
EST4717159,Yes,No,LE Irrigation,4731.8,24,197.16,We include but LMN excludes
EST4717189,Yes,No,LE Irrigation,4771.06,24,198.79,We include but LMN excludes
EST4717080,Yes,No,LE Irrigation,5564.49,24,231.85,We include but LMN excludes
EST2845958,Yes,No,LE Maintenance (Summer/Winter),36414,90,404.60,We include but LMN excludes
EST2991654,Yes,No,LE Maintenance (Summer/Winter),43880.7,300,146.27,We include but LMN excludes
EST2991589,Yes,No,LE Maintenance (Summer/Winter),28514.65,300,95.05,We include but LMN excludes
EST2990670,Yes,No,LE Maintenance (Summer/Winter),6857.5,,,We include but LMN excludes
EST2845948,Yes,No,LE Maintenance (Summer/Winter),70879.95,90,787.55,We include but LMN excludes
EST3040213,Yes,No,LE Maintenance (Summer/Winter),29088.37,105,277.03,We include but LMN excludes
EST2951174,Yes,No,LE Maintenance (Summer/Winter),38631.6,90,429.24,We include but LMN excludes
EST2991596,Yes,No,LE Maintenance (Summer/Winter),28917.83,300,96.39,We include but LMN excludes
EST2990656,Yes,No,LE Maintenance (Summer/Winter),4096.58,,,We include but LMN excludes
EST2990674,Yes,No,LE Maintenance (Summer/Winter),7019.73,,,We include but LMN excludes
EST2991660,Yes,No,LE Maintenance (Summer/Winter),44671.43,300,148.90,We include but LMN excludes
EST5842043,No,Yes,(empty in LMN),150,,,LMN includes but we exclude
EST5368292,No,Yes,(empty in LMN),150,,,LMN includes but we exclude
EST5818416,No,Yes,(empty in LMN),92,,,LMN includes but we exclude
EST5818430,No,Yes,(empty in LMN),59,,,LMN includes but we exclude
EST5818378,No,Yes,(empty in LMN),92,,,LMN includes but we exclude
EST5818392,No,Yes,(empty in LMN),92,,,LMN includes but we exclude
EST5576034,No,Yes,(empty in LMN),573.48,4,143.37,LMN includes but we exclude
EST5368095,No,Yes,(empty in LMN),200,,,LMN includes but we exclude
EST5770306,No,Yes,(empty in LMN),528.1,2,264.05,LMN includes but we exclude
EST5368117,No,Yes,(empty in LMN),200,,,LMN includes but we exclude
EST5770324,No,Yes,(empty in LMN),250,,,LMN includes but we exclude
EST5517920,No,Yes,(empty in LMN),5136.6,50,102.73,LMN includes but we exclude
EST5619443,No,Yes,(empty in LMN),2442.91,16,152.68,LMN includes but we exclude
EST5818827,No,Yes,(empty in LMN),0,,,LMN includes but we exclude
EST5488386,No,Yes,(empty in LMN),1538.85,8,192.36,LMN includes but we exclude
EST5169178,No,Yes,(empty in LMN),600,,,LMN includes but we exclude
EST5169183,No,Yes,(empty in LMN),400,,,LMN includes but we exclude
EST5169185,No,Yes,(empty in LMN),700,,,LMN includes but we exclude
EST3253925,No,Yes,(empty in LMN),5215,1,5215.00,LMN includes but we exclude
EST3018674,No,Yes,(empty in LMN),5227.88,,,LMN includes but we exclude
EST3027843,No,Yes,(empty in LMN),6974.58,1,6974.58,LMN includes but we exclude
EST2607814,No,Yes,(empty in LMN),8420.25,15,561.35,LMN includes but we exclude
EST3305946,No,Yes,(empty in LMN),35550.42,1,35550.42,LMN includes but we exclude
EST3251342,No,Yes,(empty in LMN),39865,105,379.67,LMN includes but we exclude
EST3254553,No,Yes,(empty in LMN),33295,1,33295.00,LMN includes but we exclude
EST3322412,No,Yes,(empty in LMN),36044.85,1,36044.85,LMN includes but we exclude
EST3224652,No,Yes,(empty in LMN),13334.81,1,13334.81,LMN includes but we exclude
EST3379284,No,Yes,(empty in LMN),5864.280000000001,,,LMN includes but we exclude
EST3379313,No,Yes,(empty in LMN),6500,,,LMN includes but we exclude
EST3379272,No,Yes,(empty in LMN),25351,,,LMN includes but we exclude
EST3379319,No,Yes,(empty in LMN),6500,,,LMN includes but we exclude
EST3379306,No,Yes,(empty in LMN),6203.31,,,LMN includes but we exclude
EST3307548,No,Yes,(empty in LMN),14724,1,14724.00,LMN includes but we exclude
EST2845819,No,Yes,(empty in LMN),12971.4,90,144.13,LMN includes but we exclude
EST5587094,No,Yes,(empty in LMN),75.74000000000001,1,75.74,LMN includes but we exclude
EST3339038,No,Yes,(empty in LMN),116570,2,58285.00,LMN includes but we exclude
EST3340456,No,Yes,(empty in LMN),113560,2,56780.00,LMN includes but we exclude
EST3338967,No,Yes,(empty in LMN),138900,2,69450.00,LMN includes but we exclude
EST3339064,No,Yes,(empty in LMN),115940,2,57970.00,LMN includes but we exclude
EST3339238,No,Yes,(empty in LMN),76400,2,38200.00,LMN includes but we exclude
EST3339247,No,Yes,(empty in LMN),76400,2,38200.00,LMN includes but we exclude
EST3341651,No,Yes,(empty in LMN),27040,2,13520.00,LMN includes but we exclude
EST3287444,No,Yes,(empty in LMN),16125,1,16125.00,LMN includes but we exclude
EST3339265,No,Yes,(empty in LMN),86420,2,43210.00,LMN includes but we exclude
EST3339633,No,Yes,(empty in LMN),39540,2,19770.00,LMN includes but we exclude
EST3339468,No,Yes,(empty in LMN),45370,2,22685.00,LMN includes but we exclude
EST3339498,No,Yes,(empty in LMN),29160,2,14580.00,LMN includes but we exclude
EST3339396,No,Yes,(empty in LMN),24610,2,12305.00,LMN includes but we exclude
EST3339453,No,Yes,(empty in LMN),55820,2,27910.00,LMN includes but we exclude
EST3339431,No,Yes,(empty in LMN),26680,2,13340.00,LMN includes but we exclude
EST3339221,No,Yes,(empty in LMN),336830,2,168415.00,LMN includes but we exclude
EST3307411,No,Yes,(empty in LMN),45364,1,45364.00,LMN includes but we exclude
EST5482302,No,Yes,(empty in LMN),174.62,2.5,69.85,LMN includes but we exclude
EST3270334,No,Yes,(empty in LMN),13200,1,13200.00,LMN includes but we exclude
EST3270368,No,Yes,(empty in LMN),8400,1,8400.00,LMN includes but we exclude
EST3262014,No,Yes,(empty in LMN),11319.84,1,11319.84,LMN includes but we exclude
EST2999661,No,Yes,(empty in LMN),24600.12,1,24600.11,LMN includes but we exclude
EST2999761,No,Yes,(empty in LMN),15487.43,1,15487.43,LMN includes but we exclude
EST2997198,No,Yes,(empty in LMN),81007.29000000001,1,81007.29,LMN includes but we exclude
EST2999958,No,Yes,(empty in LMN),17883.06,1,17883.06,LMN includes but we exclude
EST3000041,No,Yes,(empty in LMN),16677.15,1,16677.15,LMN includes but we exclude
EST3000180,No,Yes,(empty in LMN),19208.73,1,19208.73,LMN includes but we exclude
EST2997285,No,Yes,(empty in LMN),16045.85,1,16045.85,LMN includes but we exclude
EST2997957,No,Yes,(empty in LMN),26037.71,1,26037.71,LMN includes but we exclude
EST2999562,No,Yes,(empty in LMN),74348.79000000001,1,74348.79,LMN includes but we exclude
EST3000299,No,Yes,(empty in LMN),26547.62,1,26547.61,LMN includes but we exclude
EST5574448,No,Yes,(empty in LMN),263.21,4,65.80,LMN includes but we exclude
EST5460648,No,Yes,(empty in LMN),18574.89,44,422.16,LMN includes but we exclude
EST5520035,No,Yes,(empty in LMN),21845.09,72,303.40,LMN includes but we exclude
EST5681783,No,Yes,(empty in LMN),6000.16,30,200.01,LMN includes but we exclude
EST5519964,No,Yes,(empty in LMN),8329.12,30,277.64,LMN includes but we exclude
EST5520000,No,Yes,(empty in LMN),9040.19,30,301.34,LMN includes but we exclude
EST5742968,No,Yes,(empty in LMN),8755.720000000001,1,8755.72,LMN includes but we exclude
EST5577463,No,Yes,(empty in LMN),1173.84,8,146.73,LMN includes but we exclude
EST5341931,No,Yes,(empty in LMN),1273.35,10,127.33,LMN includes but we exclude
EST5156791,No,Yes,(empty in LMN),4218.5,29,145.47,LMN includes but we exclude
EST5793319,No,Yes,(empty in LMN),2492.08,16,155.75,LMN includes but we exclude
EST5826572,No,Yes,(empty in LMN),0,,,LMN includes but we exclude
