Estimate ID,In General Export,In Our Database,In Detailed Export,Status,Division,Price
EST3020290,Yes,Yes,No,Email Contract Award,LE Maintenance (Summer/Winter),0
EST2943160,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2943257,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2943219,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2944352,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2944506,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2944551,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2944964,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2865197,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2865058,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2865313,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2988830,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2988908,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2989793,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990058,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990127,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2990207,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990155,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3387098,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3387024,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3387075,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3387013,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3386976,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3387000,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3405862,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3406703,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3406739,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3406672,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3405847,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3406771,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3405355,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3405513,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3405308,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3405615,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3405642,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3312077,Yes,Yes,No,Email Contract Award,LE Maintenance (Summer/Winter),0
EST2990837,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2990656,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2990674,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2990710,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990726,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990762,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990796,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990817,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3057469,Yes,Yes,No,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST3057635,Yes,Yes,No,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST3057670,Yes,Yes,No,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST3057692,Yes,Yes,No,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST3057836,Yes,Yes,No,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST3040214,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3057860,Yes,Yes,No,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST3057871,Yes,Yes,No,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST3057880,Yes,Yes,No,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST3294650,Yes,Yes,No,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST2991596,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2991619,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991660,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2991689,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991771,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991808,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991828,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3339620,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3339647,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3340468,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3341661,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3339002,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3339054,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3339085,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3339251,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3339280,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3339416,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3339442,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3339461,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3339478,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3339582,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3288938,Yes,Yes,No,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST5333992,Yes,Yes,No,Contract Signed,LE Irrigation,0
EST3277347,Yes,Yes,No,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3015579,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3015670,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3015786,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3307351,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3017129,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST5802989,Yes,Yes,No,Contract Signed,LE Landscapes,202.68
EST5801645,Yes,Yes,No,Contract Signed,LE Landscapes,0
EST5787531,Yes,Yes,No,Client Proposal Phase,LE Landscapes,960.96
EST5801609,Yes,Yes,No,Contract Signed,LE Landscapes,1785.6
EST5802633,Yes,Yes,No,Contract Signed,LE Landscapes,452.96
EST3178990,Yes,Yes,No,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST3021110,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3021119,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3021063,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3354467,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3354461,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3086536,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3354428,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3354435,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3354451,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3019164,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3189820,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3149318,Yes,Yes,No,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST3016163,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST5914351,Yes,Yes,No,Estimate In Progress,LE Paving,1100
EST2941133,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2941180,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2941232,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2941302,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3100987,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3019650,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3000188,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3000314,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3000069,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3000141,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2999987,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2999732,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2999790,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2999570,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2999621,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2997356,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2999539,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2997234,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3074382,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3074383,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3074384,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3074385,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3074386,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3074387,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3074388,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3074389,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3074390,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3074391,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3074392,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3074393,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991110,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991137,Yes,Yes,No,Email Contract Award,LE Maintenance (Summer/Winter),0
EST2991151,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991145,Yes,Yes,No,Email Contract Award,LE Maintenance (Summer/Winter),0
EST2991155,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3057359,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2974313,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991177,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2991174,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991172,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991170,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991168,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991164,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991162,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991160,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2962602,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2962584,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2962510,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2962487,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST5701552,Yes,Yes,No,Client Proposal Phase,LE Tree Care,4446.45
EST3045196,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3047281,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3326059,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3018906,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3019520,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3020281,Yes,Yes,No,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3018985,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3019118,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2943252,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2865886,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2943154,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2943204,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2944539,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2944958,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2944343,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2944502,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2865194,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2865057,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2865310,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3016464,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3019252,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3019291,Yes,Yes,No,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3016359,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3019326,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3031301,Yes,Yes,No,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3031302,Yes,Yes,No,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3031303,Yes,Yes,No,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3031304,Yes,Yes,No,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3031305,Yes,Yes,No,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3031306,Yes,Yes,No,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3031307,Yes,Yes,No,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3031308,Yes,Yes,No,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3031309,Yes,Yes,No,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3031310,Yes,Yes,No,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3031311,Yes,Yes,No,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3031312,Yes,Yes,No,Email Contract Award,LE Maintenance (Summer/Winter),0
EST2990148,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2990117,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2988809,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2989776,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2988879,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2990176,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990044,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3343424,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3344643,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3344659,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3345198,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3345206,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3345213,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3345224,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3345229,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3345231,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3345235,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3345238,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3345243,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3345260,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3345268,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3345275,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3345616,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3345623,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3345646,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3345656,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3345673,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3346113,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3387008,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3386996,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3386845,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3387021,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3387072,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3387092,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3312074,Yes,Yes,No,Email Contract Award,LE Maintenance (Summer/Winter),0
EST3405635,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3405611,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3405296,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3405342,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3405499,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3406766,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3405840,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3405858,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3406679,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3406658,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3406709,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3406696,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST2497070,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2845948,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2990639,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2990831,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2990810,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990789,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990739,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990719,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990705,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2990670,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3057450,Yes,Yes,No,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST3057830,Yes,Yes,No,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST3057685,Yes,Yes,No,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST3057666,Yes,Yes,No,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST3057623,Yes,Yes,No,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST3040213,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2950242,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2950411,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2950488,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2950559,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2950938,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2951174,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3057854,Yes,Yes,No,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST3294616,Yes,Yes,No,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST2991609,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991589,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2991678,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991819,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991806,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991761,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991654,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3340463,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3341656,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3339613,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3339641,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3338996,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3339051,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
