Estimate ID,Status,Price,Close Date,Division,Archived,Exclude Stats,Hours,Exclusion Reason
EST3387075,Estimate In Progress,0,2025-11-10,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3387013,Estimate In Progress,0,2027-01-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3386976,Estimate In Progress,0,2027-01-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3387000,Estimate In Progress,0,2027-01-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3405862,Estimate In Progress,0,2025-11-20,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3406703,Estimate In Progress,0,2025-11-21,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3406739,Estimate In Progress,0,2025-11-21,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3406672,Estimate In Progress,0,2025-11-20,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3405847,Estimate In Progress,0,2025-11-20,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3406771,Estimate In Progress,0,2025-11-21,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3405355,Estimate In Progress,0,2025-11-20,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3405513,Estimate In Progress,0,2025-11-20,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3405308,Estimate In Progress,0,2027-01-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3405615,Estimate In Progress,0,2025-11-20,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3405642,Estimate In Progress,0,2025-11-20,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3312077,Email Contract Award,0,2025-09-26,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST2990837,Contract Signed,0,2025-03-19,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2990656,Contract Signed,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2990674,Contract Signed,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2990710,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2990726,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2990762,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2990796,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2990817,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3057469,Estimate Lost - Price too high,0,2027-01-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3057635,Estimate Lost - Price too high,0,2025-03-26,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3057670,Estimate Lost - Price too high,0,2025-03-26,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3057692,Estimate Lost - Price too high,0,2025-03-26,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3057836,Estimate Lost - Price too high,0,2025-03-26,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST3040214,Contract Signed,0,,LE Maintenance (Summer/Winter),No,No,105,No Close Date
EST3057860,Estimate Lost - Price too high,0,2025-03-26,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST3057871,Estimate Lost - Price too high,0,2025-03-26,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST3057880,Estimate Lost - Price too high,0,2025-03-26,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST3294650,Estimate Lost - Price too high,0,2025-09-17,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST2991596,Contract Signed,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,300,Zero Price
EST2991619,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST2991660,Contract Signed,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,300,Zero Price
EST2991689,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST2991771,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST2991808,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST2991828,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST3339620,Contract Signed,0,2025-10-14,LE Maintenance (Summer/Winter),No,No,2,Zero Price
EST3339647,Contract Signed,0,2025-10-14,LE Maintenance (Summer/Winter),No,No,2,Zero Price
EST3340468,Contract Signed,0,2025-10-15,LE Maintenance (Summer/Winter),No,No,2,Zero Price
EST3341661,Contract Signed,0,2025-10-15,LE Maintenance (Summer/Winter),No,No,2,Zero Price
EST3339002,Contract Signed,0,2025-10-14,LE Maintenance (Summer/Winter),No,No,2,Zero Price
EST3339054,Estimate In Progress,0,2025-10-14,LE Maintenance (Summer/Winter),No,No,2,Zero Price
EST3339085,Contract Signed,0,2025-10-14,LE Maintenance (Summer/Winter),No,No,2,Zero Price
EST3339251,Contract Signed,0,2025-10-14,LE Maintenance (Summer/Winter),No,No,2,Zero Price
EST3339280,Contract Signed,0,2025-10-14,LE Maintenance (Summer/Winter),No,No,2,Zero Price
EST3339416,Contract Signed,0,2025-10-14,LE Maintenance (Summer/Winter),No,No,2,Zero Price
EST3339442,Contract Signed,0,2025-10-14,LE Maintenance (Summer/Winter),No,No,2,Zero Price
EST3339461,Contract Signed,0,2025-10-14,LE Maintenance (Summer/Winter),No,No,2,Zero Price
EST3339478,Estimate In Progress,0,2025-10-14,LE Maintenance (Summer/Winter),No,No,2,Zero Price
EST3339582,Contract Signed,0,2025-10-13,LE Maintenance (Summer/Winter),No,No,2,Zero Price
EST3288938,Estimate Lost - Price too high,0,2025-09-12,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST5333992,Contract Signed,0,2025-05-13,LE Irrigation,No,No,,Zero Price
EST3277347,Email Contract Award,0,2027-01-01,LE Maintenance (Summer/Winter),No,No,72,Zero Price
EST3015579,Contract Signed,0,2025-03-11,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3015670,Contract Signed,0,2025-03-11,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3015786,Contract Signed,0,2025-03-11,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3307351,Contract Signed,0,2027-01-01,LE Maintenance (Summer/Winter),No,No,15,Zero Price
EST3017129,Contract Signed,0,2025-03-11,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST5802989,Contract Signed,202.68,2025-10-20,LE Landscapes,No,No,10,Other
EST5801645,Contract Signed,0,2025-10-20,LE Landscapes,No,No,4,Zero Price
EST5787531,Client Proposal Phase,960.96,,LE Landscapes,No,No,8,No Close Date
EST5801609,Contract Signed,1785.6,2025-10-20,LE Landscapes,No,No,32,Other
EST5802633,Contract Signed,452.96,2025-10-20,LE Landscapes,No,No,10,Other
EST3178990,Estimate Lost - Price too high,0,2025-06-16,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST3021110,Estimate In Progress,0,2025-03-11,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3021119,Estimate In Progress,0,2025-03-11,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3021063,Estimate In Progress,0,2025-03-11,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3354467,Contract Signed,0,,LE Maintenance (Summer/Winter),No,No,90,No Close Date
EST3354461,Contract Signed,0,,LE Maintenance (Summer/Winter),No,No,90,No Close Date
EST3086536,Estimate In Progress,0,2026-01-01,LE Maintenance (Summer/Winter),No,No,72,Zero Price
EST3354428,Contract Signed,0,,LE Maintenance (Summer/Winter),No,No,90,No Close Date
EST3354435,Contract Signed,0,,LE Maintenance (Summer/Winter),No,No,90,No Close Date
EST3354451,Contract Signed,0,,LE Maintenance (Summer/Winter),No,No,90,No Close Date
EST3019164,Estimate Lost,0,2025-03-11,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST3189820,Contract Signed,0,2025-06-26,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST3149318,Estimate Lost - Price too high,0,2025-05-16,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST3016163,Contract Signed,0,2025-03-11,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST5914351,Estimate In Progress,1100,,LE Paving,No,No,8,No Close Date
EST2941133,Contract Signed,0,,LE Maintenance (Summer/Winter),No,No,25,No Close Date
EST2941180,Contract Signed,0,2026-01-01,LE Maintenance (Summer/Winter),No,No,25,Zero Price
EST2941232,Contract Signed,0,,LE Maintenance (Summer/Winter),No,No,25,No Close Date
EST2941302,Contract Signed,0,,LE Maintenance (Summer/Winter),No,No,6400,No Close Date
EST3100987,Estimate In Progress,0,2025-04-16,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3019650,Contract Signed,0,2025-03-11,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST3000188,Estimate Lost,0,2025-03-04,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST3000314,Estimate Lost,0,2025-03-04,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST3000069,Estimate Lost,0,2025-03-04,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST3000141,Estimate Lost,0,2025-03-04,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST2999987,Estimate Lost,0,2025-03-04,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST2999732,Estimate Lost,0,2025-03-04,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST2999790,Estimate Lost,0,2025-03-04,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST2999570,Estimate Lost,0,2025-03-04,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST2999621,Estimate Lost,0,2025-03-04,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST2997356,Estimate Lost,0,2025-03-03,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST2999539,Estimate Lost,0,2025-03-04,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST2997234,Estimate Lost,0,2025-03-03,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST3074382,Estimate Lost,0,2025-04-02,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3074383,Estimate Lost,0,2025-04-02,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3074384,Estimate Lost,0,2025-04-02,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3074385,Estimate Lost,0,2025-04-02,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3074386,Estimate Lost,0,2025-04-02,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3074387,Estimate Lost,0,2025-04-02,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3074388,Estimate Lost,0,2025-04-02,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3074389,Estimate Lost,0,2025-04-02,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3074390,Estimate Lost,0,2025-04-02,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3074391,Estimate Lost,0,2025-04-02,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3074392,Estimate Lost,0,2025-04-02,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3074393,Estimate Lost,0,2025-04-02,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991110,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991137,Email Contract Award,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991151,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991145,Email Contract Award,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991155,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3057359,Estimate Lost,0,2025-03-26,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2974313,Estimate Lost,0,2025-02-21,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991177,Contract Signed,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991174,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991172,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991170,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991168,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991164,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991162,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991160,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2962602,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2962584,Estimate Lost,0,2025-02-14,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2962510,Estimate Lost,0,2026-02-14,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2962487,Contract Signed,0,2025-02-14,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST5701552,Client Proposal Phase,4446.45,,LE Tree Care,No,No,26,No Close Date
EST3045196,Estimate Lost,0,2025-03-21,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST3047281,Contract Signed,0,2025-03-21,LE Maintenance (Summer/Winter),No,No,40,Zero Price
EST3326059,Estimate In Progress,0,2025-10-06,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST3018906,Estimate Lost,0,2025-03-11,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST3019520,Estimate Lost,0,2025-03-11,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3020281,Email Contract Award,0,2025-03-11,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST3018985,Contract Signed,0,2025-03-11,LE Maintenance (Summer/Winter),No,No,15,Zero Price
EST3019118,Contract Signed,0,2025-03-11,LE Maintenance (Summer/Winter),No,No,15,Zero Price
EST2943252,Contract Signed,0,2024-10-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2865886,Contract Signed,0,2024-07-01,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST2943154,Contract Signed,0,2024-10-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2943204,Contract Signed,0,2024-10-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2944539,Contract Signed,0,,LE Maintenance (Summer/Winter),No,No,,No Close Date
EST2944958,Contract Signed,0,,LE Maintenance (Summer/Winter),No,No,,No Close Date
EST2944343,Contract Signed,0,2025-02-06,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2944502,Contract Signed,0,,LE Maintenance (Summer/Winter),No,No,,No Close Date
EST2865194,Contract Signed,0,2024-07-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2865057,Contract Signed,0,2024-07-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2865310,Contract Signed,0,2024-07-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3016464,Estimate Lost,0,2025-03-11,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST3019252,Contract Signed,0,2025-03-11,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3019291,Email Contract Award,0,2025-03-11,LE Maintenance (Summer/Winter),No,No,15,Zero Price
EST3016359,Estimate Lost,0,2025-03-11,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST3019326,Contract Signed,0,2025-03-11,LE Maintenance (Summer/Winter),No,No,15,Zero Price
EST3031301,Email Contract Award,0,2025-03-14,LE Maintenance (Summer/Winter),No,No,5,Zero Price
EST3031302,Email Contract Award,0,2025-03-14,LE Maintenance (Summer/Winter),No,No,5,Zero Price
EST3031303,Email Contract Award,0,2025-03-14,LE Maintenance (Summer/Winter),No,No,5,Zero Price
EST3031304,Email Contract Award,0,2025-03-14,LE Maintenance (Summer/Winter),No,No,15,Zero Price
EST3031305,Email Contract Award,0,2025-03-14,LE Maintenance (Summer/Winter),No,No,5,Zero Price
EST3031306,Email Contract Award,0,2025-03-14,LE Maintenance (Summer/Winter),No,No,5,Zero Price
EST3031307,Email Contract Award,0,2025-03-14,LE Maintenance (Summer/Winter),No,No,5,Zero Price
EST3031308,Email Contract Award,0,2025-03-14,LE Maintenance (Summer/Winter),No,No,5,Zero Price
EST3031309,Email Contract Award,0,2025-03-14,LE Maintenance (Summer/Winter),No,No,5,Zero Price
EST3031310,Email Contract Award,0,2025-03-14,LE Maintenance (Summer/Winter),No,No,5,Zero Price
EST3031311,Email Contract Award,0,2025-03-14,LE Maintenance (Summer/Winter),No,No,5,Zero Price
EST3031312,Email Contract Award,0,2025-03-14,LE Maintenance (Summer/Winter),No,No,5,Zero Price
EST2990148,Contract Signed,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,25,Zero Price
EST2990117,Contract Signed,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,5,Zero Price
EST2988809,Contract Signed,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST2989776,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST2988879,Contract Signed,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST2990176,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST2990044,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST3343424,Estimate Lost,0,2025-10-16,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3344643,Contract Signed,0,2025-10-16,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3344659,Contract Signed,0,2025-10-16,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3345198,Estimate In Progress,0,2025-10-17,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3345206,Contract Signed,0,2025-10-17,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3345213,Contract Signed,0,2025-10-17,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3345224,Contract Signed,0,2025-10-15,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3345229,Contract Signed,0,2025-10-17,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3345231,Contract Signed,0,2025-10-17,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3345235,Contract Signed,0,2025-10-17,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3345238,Contract Signed,0,2025-10-17,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3345243,Estimate Lost,0,2026-10-31,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3345260,Estimate Lost,0,2025-10-17,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3345268,Estimate Lost,0,2025-10-17,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3345275,Estimate Lost,0,2025-10-17,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3345616,Contract Signed,0,2025-10-17,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3345623,Contract Signed,0,2025-10-17,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3345646,Estimate Lost,0,2025-10-17,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3345656,Estimate In Progress,0,2025-10-17,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3345673,Estimate In Progress,0,2025-10-17,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3346113,Contract Signed,0,2025-10-17,LE Maintenance (Summer/Winter),No,No,48,Zero Price
EST3387008,Estimate In Progress,0,2025-11-10,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3386996,Estimate In Progress,0,2026-01-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3386845,Estimate In Progress,0,2026-01-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3387021,Estimate In Progress,0,2026-01-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
