Estimate ID,Division,Price,Hours,Price/Hour,Status,Close Date
EST4802410,LE Irrigation,2348.73,10,234.87,won,2025-03-18T00:00:00+00:00
EST5017272,LE Paving,3798.37,4,949.59,won,2025-05-13T00:00:00+00:00
EST3047281,LE Maintenance (Summer/Winter),21894.67,40,547.37,won,2025-03-20T00:00:00+00:00
EST3019650,LE Maintenance (Summer/Winter),33253.82,105,316.70,won,2025-03-10T00:00:00+00:00
EST4548181,LE Paving,4667.11,,,won,2025-06-08T00:00:00+00:00
EST3339701,LE Maintenance (Summer/Winter),15116.4,25,604.66,won,2025-12-31T00:00:00+00:00
EST2941180,LE Maintenance (Summer/Winter),46490.24,25,1859.61,won,2025-12-31T00:00:00+00:00
EST3016163,LE Maintenance (Summer/Winter),14340.69,,,won,2025-03-10T00:00:00+00:00
EST4933314,LE Tree Care,567.96,4,141.99,won,2025-04-30T00:00:00+00:00
EST3345616,LE Maintenance (Summer/Winter),22189.99,,,won,2025-10-16T00:00:00+00:00
EST3345213,LE Maintenance (Summer/Winter),3646,,,won,2025-10-16T00:00:00+00:00
EST3345235,LE Maintenance (Summer/Winter),5494,,,won,2025-10-16T00:00:00+00:00
EST3345206,LE Maintenance (Summer/Winter),4702,,,won,2025-10-16T00:00:00+00:00
EST3345224,LE Maintenance (Summer/Winter),3382,,,won,2025-10-14T00:00:00+00:00
EST3345231,LE Maintenance (Summer/Winter),3382,,,won,2025-10-16T00:00:00+00:00
EST3345229,LE Maintenance (Summer/Winter),4966,,,won,2025-10-16T00:00:00+00:00
EST3345238,LE Maintenance (Summer/Winter),2327,,,won,2025-10-16T00:00:00+00:00
EST3345623,LE Maintenance (Summer/Winter),10488.03,,,won,2025-10-16T00:00:00+00:00
EST3346113,LE Maintenance (Summer/Winter),3599.76,48,75.00,won,2025-10-16T00:00:00+00:00
EST3344659,LE Maintenance (Summer/Winter),6435.25,,,won,2025-10-15T00:00:00+00:00
EST5801609,LE Landscapes,6825.6,32,213.30,won,2025-10-19T00:00:00+00:00
EST3344643,LE Maintenance (Summer/Winter),8476.2,,,won,2025-10-15T00:00:00+00:00
EST5802633,LE Landscapes,2396.38,10,239.64,won,2025-10-19T00:00:00+00:00
EST5333954,LE Irrigation,4050,,,won,2025-04-23T00:00:00+00:00
EST3017119,LE Maintenance (Summer/Winter),9425.02,,,won,2025-03-10T00:00:00+00:00
EST3015527,LE Maintenance (Summer/Winter),8771.88,,,won,2025-03-10T00:00:00+00:00
EST3277343,LE Maintenance (Summer/Winter),14368.49,72,199.56,won,2025-12-31T00:00:00+00:00
EST3015659,LE Maintenance (Summer/Winter),51985.78,,,won,2025-03-10T00:00:00+00:00
EST3015782,LE Maintenance (Summer/Winter),2892.24,,,won,2025-03-10T00:00:00+00:00
EST3307342,LE Maintenance (Summer/Winter),16763.6,15,1117.57,won,2025-09-25T00:00:00+00:00
EST3015579,LE Maintenance (Summer/Winter),9035.04,,,won,2025-03-10T00:00:00+00:00
EST3015786,LE Maintenance (Summer/Winter),2979.01,,,won,2025-03-10T00:00:00+00:00
EST3015670,LE Maintenance (Summer/Winter),53545.35,,,won,2025-03-10T00:00:00+00:00
EST5333992,LE Irrigation,4050,,,won,2025-05-12T00:00:00+00:00
EST3017129,LE Maintenance (Summer/Winter),9707.77,,,won,2025-03-10T00:00:00+00:00
EST2948927,LE Maintenance (Summer/Winter),32519.05,90,361.32,won,2025-02-07T00:00:00+00:00
EST2988809,LE Maintenance (Summer/Winter),50539.15,105,481.33,won,2025-02-27T00:00:00+00:00
EST2990117,LE Maintenance (Summer/Winter),53063.1,5,10612.62,won,2025-02-27T00:00:00+00:00
EST2990148,LE Maintenance (Summer/Winter),120048.64,25,4801.95,won,2025-02-27T00:00:00+00:00
EST5801645,LE Landscapes,630,4,157.50,won,2025-10-19T00:00:00+00:00
EST2988830,LE Maintenance (Summer/Winter),43557.69,55,791.96,won,2025-02-27T00:00:00+00:00
EST2990127,LE Maintenance (Summer/Winter),55609.79,25,2224.39,won,2025-02-27T00:00:00+00:00
EST2988908,LE Maintenance (Summer/Winter),121296.44,105,1155.20,won,2025-02-27T00:00:00+00:00
EST2990155,LE Maintenance (Summer/Winter),111445.27,100,1114.45,won,2025-02-27T00:00:00+00:00
EST2988879,LE Maintenance (Summer/Winter),117763.54,105,1121.56,won,2025-02-27T00:00:00+00:00
EST2944343,LE Maintenance (Summer/Winter),7527.03,,,won,2025-02-05T00:00:00+00:00
EST3020281,LE Maintenance (Summer/Winter),54242.67,105,516.60,won,2025-03-10T00:00:00+00:00
EST3020290,LE Maintenance (Summer/Winter),55869.95,105,532.09,won,2025-03-10T00:00:00+00:00
EST2962487,LE Maintenance (Summer/Winter),10995.22,,,won,2025-02-13T00:00:00+00:00
EST2962501,LE Maintenance (Summer/Winter),11325.28,,,won,2025-02-13T00:00:00+00:00
EST2991137,LE Maintenance (Summer/Winter),2175.41,,,won,2025-02-27T00:00:00+00:00
EST2991145,LE Maintenance (Summer/Winter),6837.1,,,won,2025-02-27T00:00:00+00:00
EST2991138,LE Maintenance (Summer/Winter),2240.67,,,won,2025-02-27T00:00:00+00:00
EST2991178,LE Maintenance (Summer/Winter),2266.09,,,won,2025-02-27T00:00:00+00:00
EST2991148,LE Maintenance (Summer/Winter),7042.21,,,won,2025-02-27T00:00:00+00:00
EST2991177,LE Maintenance (Summer/Winter),2200.09,,,won,2025-02-27T00:00:00+00:00
EST3189820,LE Maintenance (Summer/Winter),14752.74,105,140.50,won,2025-06-25T00:00:00+00:00
EST3189822,LE Maintenance (Summer/Winter),15195.32,105,144.72,won,2025-06-30T00:00:00+00:00
EST5802989,LE Landscapes,1777.68,10,177.77,won,2025-10-19T00:00:00+00:00
EST5078367,LE Paving,3921.42,,,won,2025-06-22T00:00:00+00:00
EST3339229,LE Maintenance (Summer/Winter),336830,2,168415.00,won,2025-10-13T00:00:00+00:00
EST3339578,LE Maintenance (Summer/Winter),29160,2,14580.00,won,2025-10-14T00:00:00+00:00
EST3339474,LE Maintenance (Summer/Winter),45370,2,22685.00,won,2025-10-13T00:00:00+00:00
EST3339437,LE Maintenance (Summer/Winter),26680,2,13340.00,won,2025-10-13T00:00:00+00:00
EST3339408,LE Maintenance (Summer/Winter),24610,2,12305.00,won,2025-10-14T00:00:00+00:00
EST3339641,LE Maintenance (Summer/Winter),39540,2,19770.00,won,2025-10-13T00:00:00+00:00
EST3339458,LE Maintenance (Summer/Winter),55820,2,27910.00,won,2025-10-13T00:00:00+00:00
EST3339051,LE Maintenance (Summer/Winter),116570,2,58285.00,won,2025-10-13T00:00:00+00:00
EST3339613,LE Maintenance (Summer/Winter),9130,2,4565.00,won,2025-10-13T00:00:00+00:00
EST3339275,LE Maintenance (Summer/Winter),86420,2,43210.00,won,2025-10-13T00:00:00+00:00
EST3338996,LE Maintenance (Summer/Winter),138900,2,69450.00,won,2025-10-13T00:00:00+00:00
EST3339582,LE Maintenance (Summer/Winter),29160,2,14580.00,won,2025-10-12T00:00:00+00:00
EST3339442,LE Maintenance (Summer/Winter),26680,2,13340.00,won,2025-10-13T00:00:00+00:00
EST3340468,LE Maintenance (Summer/Winter),113560,2,56780.00,won,2025-10-14T00:00:00+00:00
EST3339416,LE Maintenance (Summer/Winter),24610,2,12305.00,won,2025-10-13T00:00:00+00:00
EST3339461,LE Maintenance (Summer/Winter),55820,2,27910.00,won,2025-10-13T00:00:00+00:00
EST3339280,LE Maintenance (Summer/Winter),86420,2,43210.00,won,2025-10-13T00:00:00+00:00
EST3341661,LE Maintenance (Summer/Winter),27040,2,13520.00,won,2025-10-14T00:00:00+00:00
EST3339076,LE Maintenance (Summer/Winter),115940,2,57970.00,won,2025-10-13T00:00:00+00:00
EST3341656,LE Maintenance (Summer/Winter),27040,2,13520.00,won,2025-10-14T00:00:00+00:00
EST3339251,LE Maintenance (Summer/Winter),76400,2,38200.00,won,2025-10-13T00:00:00+00:00
EST3340463,LE Maintenance (Summer/Winter),113560,2,56780.00,won,2025-10-14T00:00:00+00:00
EST3339233,LE Maintenance (Summer/Winter),336830,2,168415.00,won,2025-10-13T00:00:00+00:00
EST3339620,LE Maintenance (Summer/Winter),9130,2,4565.00,won,2025-10-13T00:00:00+00:00
EST3339002,LE Maintenance (Summer/Winter),138900,2,69450.00,won,2025-10-13T00:00:00+00:00
EST3339647,LE Maintenance (Summer/Winter),39540,2,19770.00,won,2025-10-13T00:00:00+00:00
EST3339085,LE Maintenance (Summer/Winter),115940,2,57970.00,won,2025-10-13T00:00:00+00:00
EST4717212,LE Irrigation,4790.47,24,199.60,won,2025-04-08T00:00:00+00:00
EST4717159,LE Irrigation,4731.8,24,197.16,won,2025-04-08T00:00:00+00:00
EST4717189,LE Irrigation,4771.06,24,198.79,won,2025-04-08T00:00:00+00:00
EST4717080,LE Irrigation,5564.49,24,231.85,won,2025-04-08T00:00:00+00:00
EST2845958,LE Maintenance (Summer/Winter),36414,90,404.60,won,2025-01-26T00:00:00+00:00
EST2990831,LE Maintenance (Summer/Winter),1430.02,,,won,2025-02-27T00:00:00+00:00
EST2991654,LE Maintenance (Summer/Winter),43880.7,300,146.27,won,2025-02-27T00:00:00+00:00
EST2991589,LE Maintenance (Summer/Winter),28514.65,300,95.05,won,2025-02-27T00:00:00+00:00
EST2950411,LE Maintenance (Summer/Winter),3544.09,,,won,2025-04-20T00:00:00+00:00
EST2990670,LE Maintenance (Summer/Winter),6857.5,,,won,2025-02-27T00:00:00+00:00
EST2990639,LE Maintenance (Summer/Winter),4005.98,,,won,2025-02-27T00:00:00+00:00
EST2845948,LE Maintenance (Summer/Winter),70879.95,90,787.55,won,2025-06-15T00:00:00+00:00
EST3040213,LE Maintenance (Summer/Winter),29088.37,105,277.03,won,2025-03-17T00:00:00+00:00
EST2951174,LE Maintenance (Summer/Winter),38631.6,90,429.24,won,2025-04-18T00:00:00+00:00
EST2991596,LE Maintenance (Summer/Winter),28917.83,300,96.39,won,2025-02-27T00:00:00+00:00
EST2990656,LE Maintenance (Summer/Winter),4096.58,,,won,2025-02-27T00:00:00+00:00
EST2990837,LE Maintenance (Summer/Winter),1460.92,,,won,2025-03-18T00:00:00+00:00
EST2990674,LE Maintenance (Summer/Winter),7019.73,,,won,2025-02-27T00:00:00+00:00
EST2991660,LE Maintenance (Summer/Winter),44671.43,300,148.90,won,2025-02-27T00:00:00+00:00
EST3312074,LE Maintenance (Summer/Winter),15165.72,1,15165.72,won,2025-09-25T00:00:00+00:00
EST3312077,LE Maintenance (Summer/Winter),15620.69,1,15620.69,won,2025-09-25T00:00:00+00:00
